title,University,Degree,Fees
Applied Research in Computer Science,Hof University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Applied Computer Science,SRH University Heidelberg,M.Sc. / Full-time / On Campus,"617,862,387 IRR / year"
Mathematics,Friedrich Schiller University Jena,"M.Sc. / Full-time, Part-time / On Campus",Free
Computer Science,University of Passau,M.Sc. / Full-time / On Campus,Free
Simulation Sciences,RWTH Aachen University,M.Sc. / Full-time / On Campus,Free
Civil Engineering,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Applied Computer Science,Schmalkalden University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Educational Technology,Saarland University,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Computer Science,Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"546,017,924 IRR / year"
Computer Science,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Computer Science (Informatik),TU Berlin,M.Sc. / Full-time / On Campus,Free
Digital Sciences,TH Köln (University of Applied Sciences),M.Sc. / Full-time / On Campus,"32,090,527 IRR / year"
Computer Engineering,University of Paderborn,M.Sc. / Full-time / On Campus,Free
Computer Science,Gisma University of Applied Sciences,"M.Eng. / Full-time, Part-time / On Campus","742,392,791 IRR / year"
Computer Science,University of Paderborn,M.Sc. / Full-time / On Campus,Free
Software Engineering,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Computer Simulation in Science,University of Wuppertal,M.Sc. / Full-time / On Campus,Free
Applied Computer Science,Deggendorf Institute of Technology,M.Sc. / Full-time / On Campus,Free
Artificial Intelligence,University of Würzburg,M.Sc. / Full-time / On Campus,"957,926,182 IRR / year"
Computer Science,University of Siegen,M.Sc. / Full-time / On Campus,Free
Industrial Informatics,University of Applied Sciences Emden/leer,M.Eng. / Full-time / On Campus,"25,959,800 IRR / year"
Computer Science (Informatics),Saarland University,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Computer Science,Hamburg University of Technology,M.Sc. / Full-time / On Campus,Free
Computer Science,University of Kaiserslautern-Landau,M.Sc. / Full-time / On Campus,Free
MBA and Engineering Life Science Management,HTW Berlin,M.B.A. / Full-time / On Campus,"510,862,033 IRR / year"
Computer Science,Clausthal University of Technology,"M.Sc. / Full-time, Part-time / On Campus","18,966,938 IRR / year"
Data Science,Braunschweig University of Technology,Master / Full-time / On Campus,Free
M.Sc. IT-Engineering (IT Systems and Security or Smart Manufacturing),University of Applied Sciences Wedel,M.Sc. / Full-time / On Campus,"300,788,821 IRR / year"
Bioinformatics,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Information Systems,University of Münster,M.Sc. / Full-time / On Campus,Free
International Software Systems Science,University of Bamberg,M.Sc. / Full-time / On Campus,Free
Mathematics and Computer Science,Saarland University,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Linguistic Data Science,Ruhr University Bochum,M.A. / Full-time / On Campus,Free
Computer Science - Big Data and Artificial Intelligence,SRH University,M.Sc. / Full-time / On Campus,"651,389,804 IRR / year"
Computational Science and Engineering,University of Rostock,M.Sc. / Full-time / On Campus,"25,480,836 IRR / year"
Computer Science - Cyber Security,SRH University,M.Sc. / Full-time / On Campus,"651,389,804 IRR / year"
Data Science,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
Computer Science International,University of Rostock,M.Sc. / Full-time / On Campus,"25,480,836 IRR / year"
Management Information Systems,University of Bremen,M.Sc. / Full-time / On Campus,Free
Computational Modeling and Simulation,TU Dresden,M.Sc. / Full-time / On Campus,Free
Human-Computer Interaction,Bauhaus University Weimar,M.Sc. / Full-time / On Campus,Free
Computer Science,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Computer Science,University of Göttingen,M.Sc. / Full-time / On Campus,Free
Data Science for Society and Business,Constructor University,"M.Sc. / Full-time / Online, On Campus","957,926,182 IRR / year"
Earth Oriented Space Science and Technology,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Professional IT Business and Digitalization,HTW Berlin,M.Sc. / Full-time / On Campus,"455,014,936 IRR / year"
Statistics and Data Science,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Data Engineering,Constructor University,M.Sc. / Full-time / On Campus,"957,926,182 IRR / year"
Applied Economics and Data Science,Carl von Ossietzky University of Oldenburg,M.Sc. / Full-time / On Campus,"38,317,047 IRR / year"
Machine Learning,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Data Science,Trier University,M.Sc. / Full-time / On Campus,Free
High Performance Computing and Quantum Computing,Deggendorf Institute of Technology,M.Sc. / Full-time / On Campus,Free
Biomedical Engineering,RWTH Aachen University,M.Sc. / Full-time / On Campus,Free
Information Systems Management,TU Berlin,M.Sc. / Full-time / On Campus,Free
Computer Science,Philip University in Marburg,M.Sc. / Full-time / On Campus,"38,700,218 IRR / year"
Business Mathematics,Friedrich Schiller University Jena,"M.Sc. / Full-time, Part-time / On Campus",Free
Computer Science,University of Stuttgart,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
"Control, Computer and Communications Engineering",University of Applied Sciences Mittelhessen,M.Sc. / Full-time / On Campus,"30,174,675 IRR / year"
Computer Science,University of Würzburg,M.Sc. / Full-time / On Campus,Free
Functional Safety Engineering,University of Kassel,M.A. / Full-time / On Campus,"32,665,283 IRR / year"
Computer Science,University of Bonn,M.Sc. / Full-time / On Campus,Free
Computer Science,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Business Intelligence and Data Science,International School of Management (ISM),M.Sc. / Full-time / On Campus,"620,736,166 IRR / year"
Socioinformatics,University of Kaiserslautern-Landau,M.Sc. / Full-time / On Campus,Free
Data Science,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Computational Linguistics,Heidelberg University,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Computational Mathematics,University of Passau,M.Sc. / Full-time / On Campus,Free
Computational Sciences,University of Cologne,M.Sc. / Full-time / On Campus,Free
Simulation and System Design,Hochschule Stralsund - University of Applied Sciences,M.Eng. / Full-time / On Campus,Free
Computational Mechanics,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Digital Business Engineering,Reutlingen University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Artificial Intelligence Engineering,University of Passau,M.Sc. / Full-time / On Campus,Free
Computer and Information Science,University of Konstanz,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Information Engineering and Computer Science,Rhine-Waal University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Data Science,Fulda University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Scientific Computing,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Computational Biology and Bioinformatics,University of Göttingen,M.Sc. / Full-time / On Campus,Free
Data Analytics,University of Hildesheim,M.Sc. / Full-time / On Campus,Free
Data and Computer Science,Heidelberg University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Microelectronics and Microsystems,Hamburg University of Technology,M.Sc. / Full-time / On Campus,Free
Geomaterials and Geochemistry,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Media Informatics,University of Tübingen,Master / Full-time / On Campus,"143,688,927 IRR / year"
Philosophy of Science,Leibniz University Hannover,M.A. / Full-time / On Campus,"41,095,033 IRR / year"
"Transdisciplinary Studies of Climate, Environment and Energy",CIVIS Europe’s Civic University Alliance,Master / Full-time / On Campus,"431,066,782 IRR / year"
Artificial Intelligence and Data Science for Digital Business Management,Furtwangen University,M.Sc. / Full-time / Blended,Free
Global Software Development,Fulda University of Applied Sciences,M.Sc. / Full-time / On Campus,"162,847,451 IRR / year"
Geospatial Technologies,University of Münster,M.Sc. / Full-time / On Campus,Free
Scientific Informatics,Bielefeld University,Master / Full-time / On Campus,"574,755,709 IRR / year"
Computational Science and Engineering,Technical University of Munich,M.Sc. / Full-time / On Campus,Free
Life Science Informatics,University of Bonn,M.Sc. / Full-time / On Campus,"1,513,523,367 IRR / year"
Data Science,XU Exponential University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Information and Communication Technology,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
Data Science,RWTH Aachen University,M.Sc. / Full-time / On Campus,"28,258,822 IRR / year"
Informatics and Business,South Westphalia University of Applied Sciences,M.Sc. / Full-time / On Campus,"617,862,387 IRR / year"
Advanced and Computational Mathematics,Chemnitz University of Technology,M.Sc. / Full-time / On Campus,Free
Applied Computer Science,SRH University Wilhelm Löhe,M.Sc. / Full-time / On Campus,Free
Digital Engineering,Otto von Guericke University Magdeburg,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
Digital Entrepreneurship,European University Viadrina Frankfurt (Oder),M.A. / Full-time / On Campus,Free
Informatics,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Quantum Science and Technology,Technical University of Munich,M.Sc. / Full-time / On Campus,Free
Cognitive Systems - Language Learning and Reasoning,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Neuroscience,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Computational Sciences,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
Information Systems,Pforzheim University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Visual Computing,Saarland University,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Electrical Communication Engineering,University of Kassel,M.Sc. / Full-time / On Campus,"32,665,283 IRR / year"
Mathematics,Saarland University,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Quantitative Life Science,Constructor University,M.Sc. / Full-time / On Campus,"957,926,182 IRR / year"
Social Design and Sustainable Innovation,SRH University,M.A. / Full-time / On Campus,"546,017,924 IRR / year"
ICT Innovation,TU Berlin,M.Sc. / Full-time / On Campus,Free
Computer Science (On-Campus),IU International University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Geodetic Engineering,University of Bonn,M.Sc. / Full-time / On Campus,"239,481,545 IRR / year"
Data Engineering Technologies (Online),Constructor University,M.Sc. / Part-time / Online,Free
Artificial Intelligence and Machine Learning,Darmstadt University of Technology,M.Sc. / Full-time / On Campus,Free
Data Science,Berliner Hochschule für Technik,M.Sc. / Full-time / On Campus,Free
International Automotive Engineering,"Technische Hochschule Ingolstadt, THI",M.Eng. / Full-time / On Campus,"1,034,560,276 IRR / year"
International Automotive Engineering,"Technische Hochschule Ingolstadt, THI",M.Eng. / Full-time / On Campus,Free
Medical Informatics,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Molecular Cell Biology,University of Bonn,M.Sc. / Full-time / On Campus,Free
Advanced Software Technology,Constructor University,M.Sc. / Full-time / On Campus,"957,926,182 IRR / year"
"Human Rights Studies in Politics, Law and Society",Fulda University of Applied Sciences,M.A. / Full-time / On Campus,Free
Data Science,TU Dortmund University,M.Sc. / Full-time / On Campus,Free
Bioinformatics,University of Potsdam,M.Sc. / Full-time / On Campus,Free
SAP Engineering and Analytics,Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"546,017,924 IRR / year"
Management – Digitalization and Transformation,Hochschule Bremen - International Graduate Center,M.A. / Full-time / On Campus,"475,754,038 IRR / year"
"Analytical Instruments, Measurement and Sensor Technology (AIMS)",Coburg University of Applied Sciences and Arts,M.Eng. / Full-time / On Campus,"373,591,211 IRR / year"
Applied Data Science,University of Göttingen,M.Sc. / Full-time / On Campus,Free
Business Informatics,Goethe University Frankfurt,M.Sc. / Full-time / On Campus,Free
Information Technology,Ostwestfalen - Lippe University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus",Free
Electrical and Computer Engineering,Anhalt University of Applied Sciences,M.Eng. / Full-time / On Campus,"7,232,343 IRR / year"
Software Engineering,University of Augsburg,M.Sc. / Full-time / On Campus,Free
Artificial Intelligence for Molecular Sciences,Braunschweig University of Technology,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Social Data Science,University of Mannheim,Master / Full-time / On Campus,Free
Cognitive Science,Darmstadt University of Technology,M.Sc. / Full-time / On Campus,Free
Data Science in Business and Economics,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Exercise Science and Training,University of Würzburg,M.Sc. / Full-time / On Campus,"16,188,952 IRR / year"
Engineering of Hydro-Environmental Extremes,University of Siegen,M.Sc. / Full-time / On Campus,Free
Visual Computing,Otto von Guericke University Magdeburg,M.Sc. / Full-time / On Campus,Free
Design and Interaction,Rhine-Waal University of Applied Sciences,M.A. / Full-time / On Campus,Free
Digital Engineering,Bauhaus University Weimar,M.Sc. / Full-time / On Campus,Free
High Integrity Systems,Frankfurt University of Applied Science,M.Sc. / Full-time / On Campus,"31,515,771 IRR / year"
Quantum Science,University of Siegen,M.Sc. / Full-time / On Campus,Free
Intercultural Communication and European Studies,Fulda University of Applied Sciences,M.A. / Full-time / On Campus,Free
Geomatics,Karlsruhe University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Information Systems,University of Cologne,M.Sc. / Full-time / On Campus,Free
Environmental Sciences,University of Cologne,M.Sc. / Full-time / On Campus,Free
Mechatronics,University of Siegen,M.Sc. / Full-time / On Campus,Free
Business and Organizational Psychology (On Campus),Steinbeis Next,M.A. / Full-time / On Campus,"399,934,181 IRR / year"
Business Management - Data Analytics and Artificial Intelligence (Hybrid),Steinbeis Next,M.Sc. / Full-time / Blended,"359,174,422 IRR / year"
Computational Methods in Engineering,Leibniz University Hannover,"Master / Full-time, Part-time / On Campus","41,095,033 IRR / year"
Business Management - Management and Innovation (Online),Steinbeis Next,M.Sc. / Full-time / Online,"107,048,251 IRR / year"
Business Management - Digital Innovation and Business Transformation (Hybrid),Steinbeis Next,M.Sc. / Full-time / Blended,"359,174,422 IRR / year"
Materials Science and Sustainability Methods,Bonn-Rhein-Sieg University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Earth System Data Science and Remote Sensing,Leipzig University,"M.Sc. / Full-time, Part-time / On Campus","33,527,416 IRR / year"
Management and Digital Technologies,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Business Management - Management and Innovation (On Campus),Steinbeis Next,M.Sc. / Full-time / On Campus,"569,966,078 IRR / year"
Advanced Optical Technologies,Max Planck School of Photonics,M.Sc. / Full-time / On Campus,Free
Artificial Intelligence and Societies,Media University of Applied Sciences,M.A. / Part-time / Online,"306,057,415 IRR / year"
Digital Health,University of Potsdam,M.Sc. / Full-time / On Campus,Free
